City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Mazatlan,MX,79.0,overcast clouds,23.2167,-106.4167,Hotel Club Playamar
6,Itaueira,BR,75.79,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
10,Faya,SA,77.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
11,Acapulco,MX,80.76,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
12,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
21,Butaritari,KI,81.43,moderate rain,3.0707,172.7902,Isles Sunset Lodge
22,Busselton,AU,75.99,overcast clouds,-33.65,115.3333,Observatory Guest House
23,Namibe,AO,76.71,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
24,Kavaratti,IN,85.8,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
30,Naze,JP,77.0,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
32,Cabo San Lucas,MX,82.0,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Birao,CF,86.97,broken clouds,10.2849,22.7882,
46,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
47,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
49,Kapaa,US,75.2,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
52,Beruwala,LK,87.87,overcast clouds,6.4788,79.9828,The Palms Hotel
60,Tura,IN,80.31,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
62,Hobyo,SO,82.15,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
68,Mahebourg,MU,82.4,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Aden,YE,86.27,broken clouds,12.7794,45.0367,Sama Emirate Hotel
77,Atuona,PF,79.02,light rain,-9.8,-139.0333,Villa Enata
80,Miri,MY,89.6,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
90,Puerto Ayora,EC,75.0,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Trincomalee,LK,88.18,overcast clouds,8.5711,81.2335,Welcombe Hotel
93,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
94,Hami,CN,86.04,broken clouds,42.8,93.45,Laoyutang Resort
97,Rikitea,PF,78.19,overcast clouds,-23.1203,-134.9692,Pension Maro'i
100,Kupang,ID,89.6,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
106,Benguela,AO,79.63,clear sky,-12.5763,13.4055,Hotel Praia Morena
108,Victoria,HK,89.01,few clouds,22.2855,114.1577,Mini Hotel Central
109,Mitsamiouli,KM,81.12,overcast clouds,-11.3847,43.2844,Foyer ADM
112,Saint-Pierre,RE,80.6,clear sky,-21.3393,55.4781,Lindsey Hôtel
114,Yumen,CN,82.44,clear sky,40.2833,97.2,
115,Birnin Kebbi,NG,88.52,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
117,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
