City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,2021-05-11 06:52:59,-33.9258,18.4232,60.01,94,0,2.3,fog
1,Mar Del Plata,AR,2021-05-11 06:49:11,-38.0023,-57.5575,46.99,80,6,3.0,clear sky
2,Mazatlan,MX,2021-05-11 06:53:13,23.2167,-106.4167,79.0,88,90,2.73,overcast clouds
3,Bonavista,CA,2021-05-11 06:53:14,48.6499,-53.1147,41.0,87,100,9.22,overcast clouds
4,Port Alfred,ZA,2021-05-11 06:53:14,-33.5906,26.891,65.1,72,3,8.88,clear sky
5,Matagami,CA,2021-05-11 06:53:15,49.7502,-77.6328,32.0,100,90,12.66,mist
6,Itaueira,BR,2021-05-11 06:53:15,-7.6033,-43.0256,75.79,67,100,11.7,overcast clouds
7,Saskylakh,RU,2021-05-11 06:53:15,71.9167,114.0833,20.88,84,6,1.92,clear sky
8,Scottsbluff,US,2021-05-11 06:48:22,41.8666,-103.6672,41.0,88,90,4.61,overcast clouds
9,Port Elizabeth,ZA,2021-05-11 06:50:00,-33.918,25.5701,60.8,88,75,5.75,broken clouds
10,Faya,SA,2021-05-11 06:53:16,18.3851,42.4509,77.0,27,0,3.44,clear sky
11,Acapulco,MX,2021-05-11 06:53:16,16.8634,-99.8901,80.76,77,67,1.68,broken clouds
12,Carnarvon,AU,2021-05-11 06:53:16,-24.8667,113.6333,84.2,42,7,8.05,clear sky
13,Ratnagiri,IN,2021-05-11 06:53:17,16.9833,73.3,90.25,57,86,12.71,overcast clouds
14,New Norfolk,AU,2021-05-11 06:53:17,-42.7826,147.0587,48.99,69,12,2.26,few clouds
15,Ponta Do Sol,PT,2021-05-11 06:53:17,32.6667,-17.1,57.0,56,0,5.01,clear sky
16,Sorland,NO,2021-05-11 06:53:18,67.667,12.6934,42.8,81,75,28.77,light rain
17,Hermanus,ZA,2021-05-11 06:53:18,-34.4187,19.2345,57.99,96,0,3.0,clear sky
18,Airai,TL,2021-05-11 06:53:18,-8.9266,125.4092,70.29,55,100,3.31,overcast clouds
19,Albany,US,2021-05-11 06:48:21,42.6001,-73.9662,46.0,81,100,6.85,overcast clouds
20,Hilo,US,2021-05-11 06:53:19,19.7297,-155.09,73.4,83,90,3.44,heavy intensity rain
21,Butaritari,KI,2021-05-11 06:53:19,3.0707,172.7902,81.43,80,70,14.2,moderate rain
