City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,78.24,72,100,6.71,PF,2021-04-27 02:47:32
1,Bluff,-46.6,168.3333,46.99,69,90,8.99,NZ,2021-04-27 02:47:32
2,Butaritari,3.0707,172.7902,82.87,75,54,11.34,KI,2021-04-27 02:47:32
3,Tuatapere,-46.1333,167.6833,46.99,69,95,8.99,NZ,2021-04-27 02:44:43
4,Lompoc,34.6391,-120.4579,53.6,71,1,14.97,US,2021-04-27 02:47:33
5,Barrow,71.2906,-156.7887,21.2,68,1,17.27,US,2021-04-27 02:47:33
6,Ilulissat,69.2167,-51.1,39.2,65,20,5.75,GL,2021-04-27 02:45:55
7,Busselton,-33.65,115.3333,73.99,76,38,1.99,AU,2021-04-27 02:43:26
8,Saskylakh,71.9167,114.0833,13.23,87,28,5.39,RU,2021-04-27 02:47:33
9,Kapoeta,4.7717,33.5903,71.47,81,100,8.68,SS,2021-04-27 02:47:34
10,Banja Luka,44.7758,17.1856,46.99,93,20,4.61,BA,2021-04-27 02:47:34
11,Ribeira Grande,38.5167,-28.7,60.51,84,100,3.49,PT,2021-04-27 02:45:33
12,Vaini,-21.2,-175.2,75.2,94,90,5.75,TO,2021-04-27 02:47:34
13,Horki,54.2861,30.9842,30.2,86,75,6.71,BY,2021-04-27 02:47:35
14,Pundaguitan,6.3711,126.1689,81.82,73,62,8.3,PH,2021-04-27 02:47:35
15,Souillac,-20.5167,57.5167,77.0,88,75,8.05,MU,2021-04-27 02:47:35
16,Mataura,-46.1927,168.8643,46.99,69,88,8.99,NZ,2021-04-27 02:47:36
17,Laguna,38.421,-121.4238,64.4,25,1,5.75,US,2021-04-27 02:46:26
18,Port Elizabeth,-33.918,25.5701,62.6,82,0,17.27,ZA,2021-04-27 02:47:36
19,Kavaratti,10.5669,72.642,84.56,72,10,7.85,IN,2021-04-27 02:47:36
20,Medicine Hat,50.0501,-110.6683,53.6,37,20,2.3,CA,2021-04-27 02:47:36
21,Nikolskoye,59.7035,30.7861,39.2,81,75,6.71,RU,2021-04-27 02:46:00
22,Albany,42.6001,-73.9662,43.0,53,7,1.01,US,2021-04-27 02:46:49
23,Pacific Grove,36.6177,-121.9166,54.0,79,50,15.39,US,2021-04-27 02:47:37
24,Lebu,-37.6167,-73.65,53.19,88,40,8.41,CL,2021-04-27 02:47:37
25,Kruisfontein,-34.0033,24.7314,63.0,85,54,1.01,ZA,2021-04-27 02:46:56
26,Avarua,-21.2078,-159.775,82.4,74,40,3.44,CK,2021-04-27 02:47:38
27,Jamestown,42.097,-79.2353,46.4,42,75,6.91,US,2021-04-27 02:43:31
28,Kapaa,22.0752,-159.319,77.0,65,20,8.05,US,2021-04-27 02:43:47
29,Georgetown,5.4112,100.3354,80.6,83,20,3.44,MY,2021-04-27 02:43:37
30,Harper,4.375,-7.7169,79.7,84,35,6.24,LR,2021-04-27 02:47:38
31,Mandalgovi,45.7625,106.2708,37.36,34,29,20.83,MN,2021-04-27 02:47:38
32,Dunedin,-45.8742,170.5036,45.0,86,100,10.0,NZ,2021-04-27 02:46:36
33,Zatoka,46.0725,30.4654,44.6,87,75,15.5,UA,2021-04-27 02:47:39
34,Northampton,40.8754,-75.2499,43.0,65,5,3.0,US,2021-04-27 02:47:39
35,Prince Albert,53.2001,-105.7677,55.4,22,75,8.05,CA,2021-04-27 02:47:39
36,Livingston,55.9029,-3.5226,44.6,93,75,3.44,GB,2021-04-27 02:47:40
37,Chuy,-33.6971,-53.4616,52.84,83,0,7.38,UY,2021-04-27 02:47:40
38,Atuona,-9.8,-139.0333,79.52,76,93,16.78,PF,2021-04-27 02:43:18
39,Sitka,57.0531,-135.33,50.0,66,75,5.23,US,2021-04-27 02:47:40
40,Chokurdakh,70.6333,147.9167,27.41,83,95,2.53,RU,2021-04-27 02:47:41
41,Hermanus,-34.4187,19.2345,61.0,88,99,1.01,ZA,2021-04-27 02:44:03
42,Saint George,37.1041,-113.5841,55.99,54,1,11.5,US,2021-04-27 02:45:15
43,Punta Arenas,-53.15,-70.9167,42.8,100,90,3.44,CL,2021-04-27 02:47:41
44,Parana,-31.732,-60.5238,61.0,82,1,4.34,AR,2021-04-27 02:42:49
45,Tasiilaq,65.6145,-37.6368,41.0,60,40,6.89,GL,2021-04-27 02:45:36
46,Arraial Do Cabo,-22.9661,-42.0278,74.59,78,100,2.77,BR,2021-04-27 02:47:42
47,Carnarvon,-24.8667,113.6333,78.8,47,0,3.44,AU,2021-04-27 02:47:42
48,Bilibino,68.0546,166.4372,26.6,75,100,3.71,RU,2021-04-27 02:47:42
49,Ambon,-3.6954,128.1814,89.6,55,40,5.75,ID,2021-04-27 02:47:43
50,Coquimbo,-29.9533,-71.3436,57.2,82,90,2.3,CL,2021-04-27 02:46:35
51,Castro,-24.7911,-50.0119,55.67,93,2,2.95,BR,2021-04-27 02:47:43
52,Puerto Ayora,-0.7393,-90.3518,74.89,90,38,4.68,EC,2021-04-27 02:45:35
53,Rio Grande,-32.035,-52.0986,52.0,95,2,11.65,BR,2021-04-27 02:46:40
54,Khatanga,71.9667,102.5,24.33,91,100,18.43,RU,2021-04-27 02:47:44
55,Grivenskaya,45.6473,38.176,42.67,87,7,6.15,RU,2021-04-27 02:47:44
56,Macenta,8.5435,-9.471,68.65,98,99,0.18,GN,2021-04-27 02:47:44
57,Plouzane,48.3833,-4.6167,42.8,87,0,10.36,FR,2021-04-27 02:47:44
58,Nizwa,22.9333,57.5333,82.45,26,84,1.48,OM,2021-04-27 02:47:45
59,Yellowknife,62.456,-114.3525,8.6,52,20,14.97,CA,2021-04-27 02:47:45
60,Namatanai,-3.6667,152.4333,85.17,69,44,3.98,PG,2021-04-27 02:47:45
61,Lourdes,43.1,-0.05,50.0,100,75,2.3,FR,2021-04-27 02:47:46
62,Hobart,-42.8794,147.3294,64.99,48,20,8.05,AU,2021-04-27 02:45:42
63,Black Diamond,47.3087,-122.0032,55.99,69,66,1.36,US,2021-04-27 02:45:14
64,Vygonichi,53.0985,34.0673,30.2,80,40,4.47,RU,2021-04-27 02:47:46
65,Kumluca,36.3703,30.2869,64.92,36,0,5.88,TR,2021-04-27 02:47:46
66,New Norfolk,-42.7826,147.0587,66.0,42,22,4.0,AU,2021-04-27 02:47:47
67,Ushuaia,-54.8,-68.3,42.8,81,75,2.3,AR,2021-04-27 02:43:36
68,Karatuzskoye,53.6072,92.8667,47.75,52,85,5.95,RU,2021-04-27 02:47:47
69,Te Anau,-45.4167,167.7167,44.91,66,62,2.33,NZ,2021-04-27 02:47:47
70,Yerbogachen,61.2767,108.0108,25.79,54,68,7.47,RU,2021-04-27 02:47:48
71,Alofi,-19.0595,-169.9187,84.2,79,80,11.5,NU,2021-04-27 02:47:48
72,Eskilstuna,59.3666,16.5077,34.0,80,90,2.3,SE,2021-04-27 02:47:48
73,Birin,26.8865,88.0718,78.82,17,39,5.19,NP,2021-04-27 02:47:49
74,Port Alfred,-33.5906,26.891,67.03,89,96,16.44,ZA,2021-04-27 02:43:42
75,Neuenburg,46.9918,6.931,44.6,69,0,4.12,CH,2021-04-27 02:47:49
76,Moussoro,13.6408,16.4901,84.74,9,71,11.86,TD,2021-04-27 02:47:50
77,Mar Del Plata,-38.0023,-57.5575,57.0,93,0,0.49,AR,2021-04-27 02:47:50
78,Saldanha,-33.0117,17.9442,60.8,94,11,5.75,ZA,2021-04-27 02:47:50
79,Lagoa,39.05,-27.9833,59.16,88,100,13.73,PT,2021-04-27 02:47:50
80,Ust-Kuyga,70.0167,135.6,25.61,91,100,8.61,RU,2021-04-27 02:47:51
81,Soyo,-6.1349,12.3689,78.98,89,100,6.02,AO,2021-04-27 02:47:51
82,Lata,40.1629,-8.3327,59.0,100,40,1.14,PT,2021-04-27 02:47:51
83,Makakilo City,21.3469,-158.0858,80.6,57,90,11.5,US,2021-04-27 02:47:52
84,Hasaki,35.7333,140.8333,68.0,51,75,10.36,JP,2021-04-27 02:47:52
85,Kodiak,57.79,-152.4072,42.8,87,90,17.27,US,2021-04-27 02:47:52
86,Tuktoyaktuk,69.4541,-133.0374,12.2,73,1,16.11,CA,2021-04-27 02:47:53
87,Puerto Madryn,-42.7692,-65.0385,62.91,58,72,4.92,AR,2021-04-27 02:47:53
88,Pevek,69.7008,170.3133,26.2,94,100,3.53,RU,2021-04-27 02:47:53
89,Okahandja,-21.9833,16.9167,62.6,45,5,3.44,NA,2021-04-27 02:47:53
90,Mozarlandia,-14.7447,-50.5706,73.53,65,24,1.66,BR,2021-04-27 02:47:54
91,Xining,36.6167,101.7667,46.36,35,99,9.22,CN,2021-04-27 02:47:54
92,Port-Gentil,-0.7193,8.7815,81.5,79,100,4.92,GA,2021-04-27 02:47:27
93,Mnogovershinnyy,53.9353,139.9242,43.57,63,88,6.22,RU,2021-04-27 02:47:54
94,Alcudia,39.8532,3.1214,55.0,87,20,4.61,ES,2021-04-27 02:47:55
95,Skuodas,56.2667,21.5333,37.4,93,90,5.75,LT,2021-04-27 02:47:55
96,Tiksi,71.6872,128.8694,17.01,85,100,10.58,RU,2021-04-27 02:47:55
97,Poplar Bluff,36.757,-90.3929,70.0,56,1,9.22,US,2021-04-27 02:47:56
98,Santa Fe,-31.6333,-60.7,61.0,82,0,3.38,AR,2021-04-27 02:47:56
99,Santona,43.4439,-3.4576,55.99,100,75,10.36,ES,2021-04-27 02:47:56
100,Zhigansk,66.7697,123.3711,19.04,84,100,14.97,RU,2021-04-27 02:47:56
101,Sur,22.5667,59.5289,87.24,37,11,4.47,OM,2021-04-27 02:47:57
102,San Cristobal,7.7669,-72.225,78.8,94,75,11.5,VE,2021-04-27 02:47:57
